source_id	derivative_id	subject_id	session_id	output_num	output_size	nifti_num	nifti_size	html_num
ds005165	fMRIPrep-25.1.3	sub-01	ses-01	160	462304646	41	74293083	0
ds005165	fMRIPrep-25.1.3	sub-01	ses-02	160	27572134	42	26897748	0
ds005165	fMRIPrep-25.1.3	sub-01	ses-03	160	27629566	42	26955449	0
ds005165	fMRIPrep-25.1.3	sub-01	ses-04	160	27627634	42	26950649	0
ds005165	fMRIPrep-25.1.3	sub-01	ses-05	160	27597800	42	26922435	0
ds005165	fMRIPrep-25.1.3	sub-02	ses-01	164	473920673	44	74442516	0
ds005165	fMRIPrep-25.1.3	sub-02	ses-02	160	27672395	42	27000290	0
ds005165	fMRIPrep-25.1.3	sub-02	ses-03	160	27714220	42	27043903	0
ds005165	fMRIPrep-25.1.3	sub-02	ses-04	164	29097921	45	28420701	0
ds005165	fMRIPrep-25.1.3	sub-02	ses-05	160	27776299	42	27097643	0
ds005165	fMRIPrep-25.1.3	sub-03	ses-01	160	462008077	41	73246887	0
ds005165	fMRIPrep-25.1.3	sub-03	ses-02	160	27646613	42	26978615	0
ds005165	fMRIPrep-25.1.3	sub-03	ses-03	160	27621530	42	26948335	0
ds005165	fMRIPrep-25.1.3	sub-03	ses-04	160	27547152	42	26883878	0
ds005165	fMRIPrep-25.1.3	sub-03	ses-05	160	27565891	42	26895322	0
ds005165	fMRIPrep-25.1.3	sub-04	ses-01	164	463865026	44	74965617	0
ds005165	fMRIPrep-25.1.3	sub-04	ses-02	160	27547673	42	26876586	0
ds005165	fMRIPrep-25.1.3	sub-04	ses-03	160	27564689	42	26888278	0
ds005165	fMRIPrep-25.1.3	sub-04	ses-04	160	27594885	42	26920680	0
ds005165	fMRIPrep-25.1.3	sub-04	ses-05	160	27604055	42	26926876	0
ds005165	fMRIPrep-25.1.3	sub-05	ses-01	160	479182552	41	77310338	0
ds005165	fMRIPrep-25.1.3	sub-05	ses-02	160	27697968	42	27024432	0
ds005165	fMRIPrep-25.1.3	sub-05	ses-03	160	27883764	42	27212471	0
ds005165	fMRIPrep-25.1.3	sub-05	ses-04	160	28145275	42	27474736	0
ds005165	fMRIPrep-25.1.3	sub-05	ses-05	160	28041286	42	27373213	0
ds005165	fMRIPrep-25.1.3	sub-06	ses-01	160	469713063	41	74176193	0
ds005165	fMRIPrep-25.1.3	sub-06	ses-02	160	27766464	42	27089644	0
ds005165	fMRIPrep-25.1.3	sub-06	ses-03	160	27754680	42	27075202	0
ds005165	fMRIPrep-25.1.3	sub-06	ses-04	160	27809394	42	27132700	0
ds005165	fMRIPrep-25.1.3	sub-06	ses-05	160	27745738	42	27068658	0
ds005165	fMRIPrep-25.1.3	sub-07	ses-01	160	481938852	41	78276713	0
ds005165	fMRIPrep-25.1.3	sub-07	ses-02	160	28338508	42	27662951	0
ds005165	fMRIPrep-25.1.3	sub-07	ses-03	160	28394065	42	27711303	0
ds005165	fMRIPrep-25.1.3	sub-07	ses-04	160	28377352	42	27696605	0
ds005165	fMRIPrep-25.1.3	sub-07	ses-05	160	28307263	42	27629438	0
ds005165	fMRIPrep-25.1.3	sub-08	ses-01	160	487401407	41	79287937	0
ds005165	fMRIPrep-25.1.3	sub-08	ses-02	160	28684706	42	28007432	0
ds005165	fMRIPrep-25.1.3	sub-08	ses-03	160	28583128	42	27915020	0
ds005165	fMRIPrep-25.1.3	sub-08	ses-04	160	28588006	42	27915106	0
ds005165	fMRIPrep-25.1.3	sub-08	ses-05	160	28678396	42	28006546	0
ds005165	fMRIPrep-25.1.3	sub-09	ses-01	160	481573665	41	77503641	0
ds005165	fMRIPrep-25.1.3	sub-09	ses-02	160	28364597	42	27704193	0
ds005165	fMRIPrep-25.1.3	sub-09	ses-03	160	28336469	42	27670695	0
ds005165	fMRIPrep-25.1.3	sub-09	ses-04	160	28359510	42	27692405	0
ds005165	fMRIPrep-25.1.3	sub-09	ses-05	160	28324176	42	27661291	0
ds005165	fMRIPrep-25.1.3	sub-10	ses-01	160	472047594	41	75887086	0
ds005165	fMRIPrep-25.1.3	sub-10	ses-02	160	27809971	42	27136796	0
ds005165	fMRIPrep-25.1.3	sub-10	ses-03	160	28016940	42	27347954	0
ds005165	fMRIPrep-25.1.3	sub-10	ses-04	160	27996794	42	27320827	0
ds005165	fMRIPrep-25.1.3	sub-10	ses-05	164	29395125	45	28720476	0
ds005165	fMRIPrep-25.1.3	sub-01	ses-01	160	462304646	41	74293083	0
ds005165	fMRIPrep-25.1.3	sub-01	ses-02	160	27572134	42	26897748	0
ds005165	fMRIPrep-25.1.3	sub-01	ses-03	160	27629566	42	26955449	0
ds005165	fMRIPrep-25.1.3	sub-01	ses-04	160	27627634	42	26950649	0
ds005165	fMRIPrep-25.1.3	sub-01	ses-05	160	27597800	42	26922435	0
ds005165	fMRIPrep-25.1.3	sub-02	ses-01	164	473920673	44	74442516	0
ds005165	fMRIPrep-25.1.3	sub-02	ses-02	160	27672395	42	27000290	0
ds005165	fMRIPrep-25.1.3	sub-02	ses-03	160	27714220	42	27043903	0
ds005165	fMRIPrep-25.1.3	sub-02	ses-04	164	29097921	45	28420701	0
ds005165	fMRIPrep-25.1.3	sub-02	ses-05	160	27776299	42	27097643	0
ds005165	fMRIPrep-25.1.3	sub-03	ses-01	160	462008077	41	73246887	0
ds005165	fMRIPrep-25.1.3	sub-03	ses-02	160	27646613	42	26978615	0
ds005165	fMRIPrep-25.1.3	sub-03	ses-03	160	27621530	42	26948335	0
ds005165	fMRIPrep-25.1.3	sub-03	ses-04	160	27547152	42	26883878	0
ds005165	fMRIPrep-25.1.3	sub-03	ses-05	160	27565891	42	26895322	0
ds005165	fMRIPrep-25.1.3	sub-04	ses-01	164	463865026	44	74965617	0
ds005165	fMRIPrep-25.1.3	sub-04	ses-02	160	27547673	42	26876586	0
ds005165	fMRIPrep-25.1.3	sub-04	ses-03	160	27564689	42	26888278	0
ds005165	fMRIPrep-25.1.3	sub-04	ses-04	160	27594885	42	26920680	0
ds005165	fMRIPrep-25.1.3	sub-04	ses-05	160	27604055	42	26926876	0
ds005165	fMRIPrep-25.1.3	sub-05	ses-01	160	479182552	41	77310338	0
